Nutrient Code,Nutrient Description,Unit
203,Protein,g
204,Total Fat,g
205,Carbohydrate,g
208,Energy,kcal
221,Alcohol,g
255,Water,g
262,Caffeine,mg
263,Theobromine,mg
269,"Sugars, total",g
291,"Fiber, total dietary",g
301,Calcium,mg
303,Iron,mg
304,Magnesium,mg
305,Phosphorus,mg
306,Potassium,mg
307,Sodium,mg
309,Zinc,mg
312,Copper,mg
317,Selenium,mcg
319,Retinol,mcg
320,"Vitamin A, RAE",mcg
321,"Carotene, beta",mcg
322,"Carotene, alpha",mcg
323,Vitamin E (alpha-tocopherol),mg
328,Vitamin D (D2 + D3),mcg
334,"Cryptoxanthin, beta",mcg
337,Lycopene,mcg
338,Lutein + zeaxanthin,mcg
401,Vitamin C,mg
404,Thiamin,mg
405,Riboflavin,mg
406,Niacin,mg
415,Vitamin B-6,mg
417,"Folate, total",mcg
418,Vitamin B-12,mcg
421,"Choline, total",mg
430,Vitamin K (phylloquinone),mcg
431,Folic acid,mcg
432,"Folate, food",mcg
435,"Folate, DFE",mcg
573,"Vitamin E, added",mg
578,"Vitamin B-12, added",mcg
601,Cholesterol,mg
606,"Fatty acids, total saturated",g
607,4:00,g
608,6:00,g
609,8:00,g
610,10:00,g
611,12:00,g
612,14:00,g
613,16:00,g
614,18:00,g
617,18:01,g
618,18:02,g
619,18:03,g
620,20:04,g
621,22:6 n-3,g
626,16:01,g
627,18:04,g
628,20:01,g
629,20:5 n-3,g
630,22:01,g
631,22:5 n-3,g
645,"Fatty acids, total monounsaturated",g
646,"Fatty acids, total polyunsaturated",g
